User ID,New Listings,Renewals,Ads Bought,Listing Revenue,Promo Revenues,Total Revenue,Segments
1083784,34,39,45,1254.17,3107.76,4361.929999999999,Top Revenue
6279921,105,527,622,4350.780000000001,0.0,4350.780000000001,Top Revenue
833547,104,4115,4069,4048.58,273.67,4322.25,Top Revenue
24674342,24,91,81,2223.13,2096.06,4319.19,Top Revenue
15950408,4,51,50,1574.48,2709.5,4283.9800000000005,Top Revenue
8237671,24,484,484,4214.99,68.96,4283.95,Top Revenue
15061892,880,5518,6373,4144.2699999999995,135.29,4279.5599999999995,Top Revenue
32432465,57,20,41,1164.98,3109.73,4274.71,Top Revenue
5724319,336,2612,2905,3449.73,779.54,4229.27,Top Revenue
4117237,3,5199,5153,4573.67,-372.57,4201.1,Top Revenue
5823837,1328,2813,4091,4137.28,48.72,4186.0,Top Revenue
49743567,8,31,28,524.9499999999999,3644.0699999999997,4169.0199999999995,Top Revenue
109244,23,12,23,694.68,3450.03,4144.71,Top Revenue
8224665,36,17,32,900.85,3233.3700000000003,4134.219999999999,Top Revenue
36560461,664,3303,3922,4445.0199999999995,-318.32,4126.7,Top Revenue
8311935,550,6358,6685,4603.14,-487.09000000000003,4116.049999999999,Top Revenue
14915654,33,49,69,1904.8500000000001,2205.28,4110.13,Top Revenue
5468289,3,93,92,1221.96,2768.2799999999997,3990.24,Top Revenue
724673,25,287,282,633.1,3350.1000000000004,3983.2,Top Revenue
42827957,155,3613,3732,3923.4700000000003,21.760000000000005,3945.2300000000005,Top Revenue
141610289,120,84,139,4155.06,-246.45,3908.61,Top Revenue
16227422,45,4,40,1139.1200000000001,2750.96,3890.08,Top Revenue
1035252,62,244,227,4407.09,-530.8100000000001,3876.2799999999997,Top Revenue
11703426,111,2568,2472,2414.58,1447.65,3862.2299999999996,Top Revenue
7462583,0,874,838,1898.32,1955.9099999999999,3854.2300000000005,Top Revenue
10271301,445,3421,3786,3849.63,0.0,3849.63,Top Revenue
115199,33,20,31,923.26,2922.25,3845.51,Top Revenue
16783008,4,48,14,448.56,3387.0099999999998,3835.5699999999997,Top Revenue
67478973,205,575,753,930.0899999999999,2905.13,3835.22,Top Revenue
110638,58,101,93,2103.0,1712.83,3815.83,Top Revenue
1898230,10,43,40,1541.65,2258.04,3799.69,Top Revenue
51086391,44,53,85,2334.88,1431.34,3766.2200000000003,Top Revenue
14798746,27,23,36,1026.8,2725.4499999999994,3752.25,Top Revenue
13108378,76,513,538,2512.19,1228.06,3740.25,Top Revenue
145612274,1345,137,1305,3188.52,546.1800000000001,3734.7,Top Revenue
1980556,4,273,217,454.01,3280.2799999999997,3734.2900000000004,Top Revenue
7925195,17,41,48,1320.04,2396.83,3716.8700000000003,Top Revenue
43100313,43,10,40,1181.52,2520.5099999999998,3702.0299999999997,Top Revenue
90817991,1,27,2,5.4,3696.17,3701.57,Top Revenue
3714725,59,495,359,841.05,2848.2500000000005,3689.3,Top Revenue
13580810,4,63,61,1212.38,2468.4700000000003,3680.85,Top Revenue
24452922,51,31,55,1302.93,2349.0800000000004,3652.01,Top Revenue
1833904,108,917,919,3628.2799999999997,0.0,3628.2799999999997,Top Revenue
36692965,122,1152,1142,1386.4,2235.61,3622.01,Top Revenue
1666628,36,390,389,580.96,3026.3100000000004,3607.2699999999995,Top Revenue
238224,102,161,187,3770.98,-165.15999999999997,3605.82,Top Revenue
1797194,6,71,32,479.99999999999994,3122.39,3602.39,Top Revenue
3382005,26,1517,1501,1685.69,1916.53,3602.2200000000003,Top Revenue
241754,63,13,22,640.92,2939.0,3579.92,Top Revenue
4295627,3,15,13,316.11,3255.3599999999997,3571.4700000000003,Top Revenue
42776817,312,1506,1778,2452.3599999999997,1110.73,3563.09,Top Revenue
132684,36,13,15,439.88,3123.19,3563.07,Top Revenue
7469105,4,17,15,285.93,3271.3700000000003,3557.3,Top Revenue
11877732,10,46,38,245.07999999999998,3297.77,3542.8500000000004,Top Revenue
16696608,20,88,87,278.86,3260.54,3539.4,Top Revenue
5646089,38,42,42,343.01,3187.0600000000004,3530.07,Top Revenue
30200443,22,93,107,1661.69,1860.6,3522.29,Top Revenue
19482260,271,3700,3930,3508.3899999999994,11.31,3519.7,Top Revenue
3266701,22,522,482,2049.12,1431.88,3481.0,Top Revenue
12362340,2,130,123,2099.61,1373.7400000000002,3473.3500000000004,Top Revenue
34524265,2,24,22,412.92,3059.17,3472.09,Top Revenue
13439204,37,35,35,978.99,2487.0799999999995,3466.0699999999997,Top Revenue
3751485,371,2583,2878,3403.6899999999996,61.4,3465.0899999999997,Top Revenue
12422292,102,1470,1530,3419.9700000000003,22.71,3442.6800000000003,Top Revenue
917192,165,3717,3713,3438.2400000000002,0.0,3438.2400000000002,Top Revenue
13497386,57,41,92,2612.12,813.67,3425.79,Top Revenue
13995952,102,13,81,223.23999999999998,3194.6099999999997,3417.85,Top Revenue
3359523,282,1234,1437,3357.55,46.06,3403.6099999999997,Top Revenue
14283420,80,994,1054,1162.95,2236.71,3399.66,Top Revenue
6395543,11,18,27,2323.2799999999997,1057.6100000000001,3380.89,Top Revenue
24907714,11,43,49,1954.83,1421.26,3376.09,Top Revenue
8953011,9,3181,3027,3012.77,357.7,3370.47,Top Revenue
3841141,72,1033,1065,3362.9900000000007,0.0,3362.9900000000007,Top Revenue
12239606,17,77,57,1293.6,2062.7200000000003,3356.3199999999997,Top Revenue
126574783,25,20,35,967.51,2386.3799999999997,3353.8899999999994,Top Revenue
154528806,104,166,150,174.82,3177.1000000000004,3351.92,Top Revenue
8142937,450,2820,3050,3345.96,0.0,3345.96,Top Revenue
14230812,28,281,39,1087.21,2249.63,3336.84,Top Revenue
29261931,33,24,32,869.53,2465.7,3335.23,Top Revenue
8238641,64,3187,3202,2893.49,437.82,3331.3100000000004,Top Revenue
18471228,4,17,7,56.33,3261.6099999999997,3317.9399999999996,Top Revenue
17975482,7,118,80,1346.58,1967.71,3314.29,Top Revenue
6681093,37,1787,1800,2012.88,1279.94,3292.8199999999997,Top Revenue
25693225,63,850,873,974.9000000000001,2315.3300000000004,3290.23,Top Revenue
18455274,545,2183,2187,2560.8,719.1,3279.9,Top Revenue
68686491,70,186,246,2130.0,1129.5900000000001,3259.59,Top Revenue
752875,315,759,1051,1309.1599999999999,1929.5800000000002,3238.7400000000002,Top Revenue
4065299,24,586,556,1649.4,1581.1499999999999,3230.55,Top Revenue
12571454,46,34,30,813.89,2402.38,3216.27,Top Revenue
34586371,14,32,26,421.52000000000004,2793.24,3214.76,Top Revenue
8780873,30,24,33,939.58,2275.08,3214.66,Top Revenue
403241,83,2970,2998,2889.46,314.9599999999999,3204.42,Top Revenue
141893,81,89,154,1329.97,1870.19,3200.1600000000003,Top Revenue
2760763,16,32,32,873.9100000000001,2314.6,3188.51,Top Revenue
36889287,181,289,254,1005.7599999999999,2159.72,3165.48,Top Revenue
866512,4,142,134,963.9,2194.0099999999998,3157.91,Top Revenue
7767359,469,2267,2689,2902.3199999999997,253.53000000000003,3155.85,Top Revenue
5903,295,3547,3249,2455.67,694.4499999999999,3150.12,Top Revenue
20892288,21,352,347,1773.8,1360.95,3134.75,Top Revenue
11379034,50,849,399,439.33000000000004,2687.3799999999997,3126.71,Top Revenue
7053285,107,305,399,3121.3500000000004,0.0,3121.3500000000004,Top Revenue
3351101,12,133,125,3119.16,0.0,3119.16,Top Revenue
2648483,9,57,55,860.07,2242.03,3102.1,Top Revenue
4236661,28,35,28,834.17,2263.9,3098.07,Top Revenue
844913,34,14,29,842.81,2229.69,3072.5,Top Revenue
226855,248,2592,2802,3060.84,0.0,3060.84,Top Revenue
127401,117,1300,784,835.2900000000001,2220.69,3055.98,Top Revenue
11646330,8,36,29,448.88,2589.31,3038.19,Top Revenue
39191455,50,7,37,1047.14,1987.2200000000003,3034.3599999999997,Top Revenue
8201761,17,156,56,1131.44,1896.68,3028.12,Top Revenue
15803254,142,3243,3329,3191.58,-176.14999999999998,3015.43,Top Revenue
23843140,27,196,118,1640.0,1371.3999999999999,3011.3999999999996,Top Revenue
3093135,24,253,191,391.09000000000003,2619.83,3010.92,Top Revenue
29192067,57,25,59,870.37,2135.17,3005.54,Top Revenue
10190163,22,12,24,677.98,2311.76,2989.7400000000002,Top Revenue
11174334,338,1036,1321,2610.2699999999995,376.46000000000004,2986.7299999999996,Top Revenue
1855718,645,1763,2355,2461.88,524.6,2986.4799999999996,Top Revenue
734111,24,701,388,2398.19,564.3799999999999,2962.5699999999997,Top Revenue
23301406,869,2164,2391,3206.68,-250.99,2955.69,Top Revenue
36107263,1,20,15,230.35999999999999,2722.48,2952.84,Top Revenue
3524505,1141,1261,2368,2421.48,526.86,2948.3399999999997,Top Revenue
11445422,7,29,32,495.29,2451.45,2946.7400000000002,Top Revenue
43840,112,150,134,600.37,2335.83,2936.2,Top Revenue
250064,46,828,824,1321.1499999999999,1606.41,2927.56,Top Revenue
146175329,2,3,2,2164.24,763.25,2927.49,Top Revenue
4310705,351,2999,2954,2937.97,-11.839999999999996,2926.13,Top Revenue
9406287,40,20,44,1400.3,1514.17,2914.4700000000003,Top Revenue
23070684,577,7,1,15.39,2894.9599999999996,2910.35,Top Revenue
72516763,396,2665,3002,2893.3099999999995,0.0,2893.3099999999995,Top Revenue
6808495,27,253,215,1815.62,1065.95,2881.5699999999997,Top Revenue
4866989,4,27,24,428.80000000000007,2433.11,2861.91,Top Revenue
32605013,419,550,716,913.1300000000001,1931.52,2844.6499999999996,Top Revenue
23418606,244,1487,1259,2842.69,0.0,2842.69,Top Revenue
23209464,21,179,188,2489.58,333.1,2822.68,Top Revenue
8386987,48,3048,3009,2821.7700000000004,0.0,2821.7700000000004,Top Revenue
33802039,5,37,8,27.97,2791.29,2819.2599999999998,Top Revenue
3867973,341,6962,7084,2588.4900000000002,228.77999999999997,2817.2699999999995,Top Revenue
9115187,18,328,299,1046.48,1755.3600000000001,2801.8399999999997,Top Revenue
4846209,16,665,614,1036.7199999999998,1760.44,2797.1600000000003,Top Revenue
3201639,413,2205,2566,2792.93,0.0,2792.93,Top Revenue
534703,283,1207,1363,2358.92,429.65999999999997,2788.58,Top Revenue
17983850,37,2,26,734.3899999999999,2047.22,2781.61,Top Revenue
13894238,118,3219,3304,2582.22,195.33999999999997,2777.56,Top Revenue
636247,185,977,1099,2057.65,716.7399999999999,2774.39,Top Revenue
48643101,22,27,35,208.1,2563.1699999999996,2771.27,Top Revenue
533295,10,33,13,97.3,2651.26,2748.5600000000004,Top Revenue
5207121,198,1911,2028,2228.56,515.96,2744.52,Top Revenue
12584708,6,30,31,441.06,2299.59,2740.65,Top Revenue
157498275,459,701,867,1039.33,1700.0300000000002,2739.3599999999997,Top Revenue
14498702,7,222,79,1025.3300000000002,1667.98,2693.31,Top Revenue
29841029,6,99,64,1511.0800000000002,1181.4399999999998,2692.5199999999995,Top Revenue
125989,42,20,51,1444.6399999999999,1241.8700000000001,2686.51,Top Revenue
705891,65,2215,2202,2444.46,240.8,2685.2599999999998,Top Revenue
145740933,95,9,83,2488.9300000000003,195.93,2684.8599999999997,Top Revenue
30439867,31,33,61,954.2700000000001,1724.75,2679.02,Top Revenue
13413404,166,1836,1834,2506.06,170.47000000000003,2676.5299999999997,Top Revenue
533545,4,56,24,267.40999999999997,2396.83,2664.24,Top Revenue
136643251,169,380,503,917.81,1743.24,2661.0499999999997,Top Revenue
2017888,248,1005,271,696.89,1962.9399999999998,2659.83,Top Revenue
17159912,109,1594,1655,1976.97,666.36,2643.33,Top Revenue
2842547,259,3905,4039,2391.1800000000003,244.44,2635.6200000000003,Top Revenue
25198780,210,2584,2713,2629.67,0.0,2629.67,Top Revenue
37800009,84,79,151,1425.36,1193.8,2619.16,Top Revenue
15671002,52,87,80,1110.98,1502.31,2613.29,Top Revenue
32721045,8,83,48,370.82000000000005,2241.01,2611.83,Top Revenue
2177004,305,2143,2135,2507.5099999999998,99.0,2606.5099999999998,Top Revenue
6376733,23,113,108,2777.2700000000004,-171.69,2605.58,Top Revenue
13462796,15,23,12,323.94000000000005,2276.68,2600.6200000000003,Top Revenue
2197448,1313,6,0,0.0,2587.9,2587.9,Top Revenue
7674949,288,1845,1284,1137.99,1439.44,2577.4300000000003,Top Revenue
129038,402,1738,2100,2526.0199999999995,40.49,2566.5099999999998,Top Revenue
22493570,13,28,21,588.22,1974.3,2562.52,Top Revenue
4721357,9,10,5,455.02,2095.54,2550.5599999999995,Top Revenue
449843,89,27,63,370.5,2177.0499999999997,2547.5499999999997,Top Revenue
7711535,162,10725,10720,2525.9700000000003,14.5,2540.4700000000003,Top Revenue
12937420,28,7,21,588.06,1944.5800000000002,2532.64,Top Revenue
3937055,94,651,163,1239.33,1277.27,2516.6000000000004,Top Revenue
23435950,31,8,29,823.57,1679.71,2503.2799999999997,Top Revenue
13624316,28,1,22,640.83,1850.08,2490.91,Top Revenue
8054439,124,263,332,975.01,1512.8200000000002,2487.83,Top Revenue
4314135,339,890,1203,1224.8500000000001,1256.69,2481.54,Top Revenue
3440415,40,123,114,1965.85,506.93000000000006,2472.78,Top Revenue
3223831,27,60,67,548.48,1915.17,2463.65,Top Revenue
22544788,329,861,1083,1545.9,912.4000000000001,2458.2999999999997,Top Revenue
14296244,24,199,193,2045.43,403.36,2448.7899999999995,Top Revenue
1109182,27,27,27,767.48,1676.83,2444.31,Top Revenue
28905955,35,22,22,610.56,1826.9099999999999,2437.47,Top Revenue
11695654,14,13,22,625.87,1810.3,2436.17,Top Revenue
22163986,14,27,21,621.5300000000001,1814.2500000000002,2435.78,Top Revenue
23787272,137,1330,1394,2162.21,267.0,2429.21,Top Revenue
2558989,23,31,23,647.75,1776.71,2424.46,Top Revenue
28585439,77,7,77,2225.33,198.89999999999998,2424.2299999999996,Top Revenue
512535,22,18,30,704.2299999999999,1709.51,2413.7400000000002,Top Revenue
6263745,22,210,181,2302.5,106.91,2409.41,Top Revenue
725347,15,5,7,128.64,2278.54,2407.18,Top Revenue
1943764,312,1109,1286,1987.74,416.76,2404.5,Top Revenue
1927494,35,1042,1036,1241.17,1155.5,2396.67,Top Revenue
6170013,416,1631,1991,2262.3900000000003,133.55,2395.9399999999996,Top Revenue
10285651,1,85,66,1195.94,1199.62,2395.5599999999995,Top Revenue
11928062,3,35,32,495.54999999999995,1899.42,2394.97,Top Revenue
595323,45,384,380,1074.22,1311.3899999999999,2385.61,Top Revenue
136358131,48,12,26,684.1600000000001,1700.2599999999998,2384.42,Top Revenue
33741549,103,664,723,939.85,1436.33,2376.1800000000003,Top Revenue
5590277,1,102,85,723.6200000000001,1642.74,2366.36,Top Revenue
803013,29,22,36,1077.2,1285.23,2362.4300000000003,Top Revenue
3122237,26,22,25,737.49,1616.8899999999999,2354.38,Top Revenue
32332261,7,38,31,821.81,1530.1399999999999,2351.95,Top Revenue
12591852,34,8,32,864.8399999999999,1485.76,2350.6000000000004,Top Revenue
761345,66,1496,1518,1650.96,695.01,2345.97,Top Revenue
124580,636,1496,2091,1965.97,372.04,2338.01,Top Revenue
12045918,239,1261,1474,1709.5200000000002,628.18,2337.7,Top Revenue
16994178,180,1746,1889,2326.89,0.0,2326.89,Top Revenue
17069438,9,25,22,386.81,1938.4,2325.21,Top Revenue
11169244,4,46,45,1157.77,1166.91,2324.68,Top Revenue
27049443,20,49,57,415.64,1898.3099999999997,2313.95,Top Revenue
12967014,13,412,380,881.1,1431.84,2312.9399999999996,Top Revenue
451757,18,57,49,803.0400000000001,1509.5500000000002,2312.59,Top Revenue
116753359,41,26,22,584.9499999999999,1726.78,2311.73,Top Revenue
130599037,83,91,72,963.1400000000001,1348.0900000000001,2311.2299999999996,Top Revenue
80970055,454,1945,2251,2307.9300000000003,0.0,2307.9300000000003,Top Revenue
452255,215,2305,2471,2303.84,0.0,2303.84,Top Revenue
641565,49,138,180,2229.73,68.72,2298.45,Top Revenue
2250758,39,273,275,2288.6,0.0,2288.6,Top Revenue
37495659,31,4,30,926.47,1359.45,2285.92,Top Revenue
37827447,376,2566,2662,2207.66,66.48,2274.14,Top Revenue
1641008,248,1365,1579,1914.6,355.29999999999995,2269.8999999999996,Top Revenue
7218549,445,2180,2452,2110.5099999999998,156.12,2266.63,Top Revenue
17220218,24,18,37,1278.83,982.56,2261.3900000000003,Top Revenue
26815033,8,43,47,711.44,1540.81,2252.25,Top Revenue
113158985,150,222,161,1951.38,298.87,2250.25,Top Revenue
44108,24,79,66,998.71,1249.9299999999998,2248.64,Top Revenue
4405561,45,511,281,631.7499999999999,1615.58,2247.33,Top Revenue
8115753,6,268,205,1638.5399999999997,602.34,2240.8799999999997,Top Revenue
8632697,142,1556,1659,1848.8000000000002,391.67,2240.4700000000003,Top Revenue
504505,41,173,137,2236.58,0.0,2236.58,Top Revenue
152016340,106,119,217,1141.52,1090.24,2231.7599999999998,Top Revenue
147433987,43,89,115,2007.7099999999998,216.59,2224.3,Top Revenue
18153764,385,1424,1767,2224.28,0.0,2224.28,Top Revenue
21991702,312,1737,2019,2223.8100000000004,0.0,2223.8100000000004,Top Revenue
31102629,78,151,80,216.64000000000001,2003.22,2219.8599999999997,Top Revenue
833233,34,38,35,839.15,1379.3,2218.45,Top Revenue
8234761,44,87,23,434.73999999999995,1783.4500000000003,2218.19,Top Revenue
6345051,11,20,21,423.93,1790.73,2214.6600000000003,Top Revenue
143611606,13,27,23,356.31,1855.55,2211.86,Top Revenue
4675663,149,1033,1146,1485.2699999999998,720.8000000000001,2206.0699999999997,Top Revenue
119677,25,26,21,576.01,1629.86,2205.8700000000003,Top Revenue
11243560,61,83,108,1774.4699999999998,429.67,2204.14,Top Revenue
5101938,1,544,139,379.44,1822.46,2201.8999999999996,Top Revenue
41375,11,44,33,622.3299999999999,1574.53,2196.86,Top Revenue
4094219,35,332,286,1328.92,867.04,2195.96,Top Revenue
13635542,43,145,58,1471.61,712.9599999999999,2184.57,Top Revenue
122781671,167,282,426,2167.7799999999997,15.399999999999999,2183.1800000000003,Top Revenue
112160725,498,1356,1792,2182.79,0.0,2182.79,Top Revenue
19539608,8,266,234,659.66,1522.8,2182.46,Top Revenue
34363305,46,10,30,851.0,1328.75,2179.75,Top Revenue
13449988,250,862,953,1555.78,623.32,2179.1000000000004,Top Revenue
20710622,35,17,23,495.05999999999995,1683.72,2178.78,Top Revenue
2691879,173,179,285,725.25,1445.8700000000001,2171.12,Top Revenue
257823,155,144,236,739.04,1426.18,2165.2200000000003,Top Revenue
31120893,25,5,23,702.86,1461.3799999999999,2164.24,Top Revenue
1120122,167,1049,1159,1648.15,514.23,2162.38,Top Revenue
2415049,48,71,88,2216.79,-58.88000000000001,2157.91,Top Revenue
1539784,34,1517,1479,1946.13,211.52,2157.65,Top Revenue
30465031,83,2322,2160,2157.17,0.0,2157.17,Top Revenue
13097908,230,1841,2047,2139.8799999999997,13.43,2153.31,Top Revenue
70267,34,14,27,805.0,1347.1200000000001,2152.12,Top Revenue
11230304,11,45,49,604.28,1546.5000000000002,2150.78,Top Revenue
70240275,173,1611,1585,1879.71,270.03000000000003,2149.74,Top Revenue
14646260,16,13,23,647.96,1499.5900000000001,2147.55,Top Revenue
11749514,16,1485,1429,2102.67,44.47,2147.1400000000003,Top Revenue
8100503,528,1640,2111,2289.9900000000002,-143.24,2146.75,Top Revenue
22208756,24,13,19,509.95,1632.1800000000003,2142.13,Top Revenue
34840873,13,14,17,484.23,1656.9900000000002,2141.2200000000003,Top Revenue
138165145,4,13,9,279.48,1860.0099999999998,2139.49,Top Revenue
1135336,47,79,61,1125.3799999999999,1013.29,2138.67,Top Revenue
10984006,53,110,49,1292.57,845.75,2138.32,Top Revenue
12557108,63,17,66,2129.2200000000003,0.0,2129.2200000000003,Top Revenue
5081103,21,106,3,39.309999999999995,2087.9700000000003,2127.28,Top Revenue
23989628,424,1745,2095,2122.3900000000003,0.0,2122.3900000000003,Top Revenue
12299,132,790,862,1164.45,955.18,2119.63,Top Revenue
22488274,57,58,76,756.1500000000001,1362.3300000000002,2118.48,Top Revenue
1806534,15,18,22,685.26,1432.55,2117.81,Top Revenue
632979,13,1047,984,1209.6200000000001,903.42,2113.04,Top Revenue
3007113,34,29,21,599.7499999999999,1510.1299999999999,2109.88,Top Revenue
7882437,4,46,42,749.02,1359.18,2108.2000000000003,Top Revenue
510977,22,157,100,1265.26,838.22,2103.48,Top Revenue
16276152,18,364,315,749.78,1352.67,2102.45,Top Revenue
13280370,112,1532,1600,2025.0,63.010000000000005,2088.0099999999998,Top Revenue
16905292,213,4,0,0.0,2087.6000000000004,2087.6000000000004,Top Revenue
36371801,1,30,25,463.37000000000006,1621.6400000000003,2085.01,Top Revenue
19525658,30,431,352,678.9300000000001,1402.57,2081.5,Top Revenue
3949717,23,15,34,1286.03,794.26,2080.29,Top Revenue
37838899,52,5,47,1364.87,709.7599999999999,2074.63,Top Revenue
4443269,12,12,5,161.76999999999998,1907.52,2069.29,Top Revenue
13712838,271,1258,1479,2011.88,54.33,2066.21,Top Revenue
3226169,11,117,89,2017.47,46.579999999999984,2064.05,Top Revenue
17173212,26,1,25,746.74,1316.73,2063.47,Top Revenue
11533416,5,68,67,475.04999999999995,1586.61,2061.66,Top Revenue
319145,1,1626,1585,1704.3899999999999,354.28,2058.67,Top Revenue
12625804,23,34,24,560.55,1496.1000000000001,2056.6499999999996,Top Revenue
4408783,121,479,558,981.3100000000001,1074.1200000000001,2055.43,Top Revenue
4842115,107,563,631,1589.48,462.36,2051.84,Top Revenue
8483311,182,2278,2398,2013.7,32.8,2046.5,Top Revenue
285,138,1002,462,371.0,1673.0000000000002,2044.0,Top Revenue
12107748,32,20,23,562.6,1479.78,2042.38,Top Revenue
23021884,70,1675,1699,2037.39,0.0,2037.39,Top Revenue
14060990,38,61,38,666.9100000000001,1370.38,2037.29,Top Revenue
114123,77,199,197,1049.31,987.1500000000001,2036.4599999999998,Top Revenue
107116177,3,21,21,700.7,1335.01,2035.71,Top Revenue
102244161,57,7,16,455.21,1579.81,2035.02,Top Revenue
11203496,21,1247,1219,1604.84,427.19,2032.03,Top Revenue
3337591,7,39,10,43.52000000000001,1981.6999999999998,2025.2200000000003,Top Revenue
31666505,24,7,26,525.36,1499.33,2024.6899999999998,Top Revenue
4057625,11,10,19,765.36,1254.77,2020.1299999999999,Top Revenue
